"id","code_prefix_start","code_prefix_end","name","parent_id","reconcile","expense_element_detailed","account_type","note"
"account_group_template_activos_circulantes","101","211","ACTIVOS CIRCULANTES","","0","0","",""
"account_group_template_101_108","101","108","Efectivo en Caja","account_group_template_activos_circulantes","0","0","asset_cash","Representan las existencias de medios monetarios y valores depositados en las cajas de la entidad. Comprenden entre otros: Efectivo para pagos menores, para cambios, fondo fijo para atenciones específicas u otros destinos, así como los importes que se ingresan en la caja, para ser depositados en las cuentas bancarias correspondientes o para pagos de nóminas. Incluyen las existencias de sellos adquiridos para uso de la entidad, tarjetas prepagadas de combustibles, bonos de combustible, bonos de pasajes en ómnibus y los cheques recibidos en divisas por la entidad y se registran por la tasa de cambio vigente, y cheques recibidos en moneda nacional.Se debitan al crear los fondos o al aumentarlos, así como por los cobros en efectivo pendientes de depositar en la sucursal bancaria, por los importes de los sellos comprados que se encuentran en existencia y por los cheques recibidos, por las tarjetas prepagadas de combustibles y se acreditan por las rebajas, utilización o cancelación de los fondos y por los depósitos efectuados en las cuentas bancarias de la entidad"
"account_group_template_109_119","109","119","Efectivo en Banco y en Otras Instituciones","account_group_template_activos_circulantes","0","0","asset_cash","Representan las existencias de los medios monetarios depositados en las cuentas bancarias o en otras instituciones financieras autorizadas. Comprenden todas las cuentas bancarias que se operan ya sean en moneda nacional como extranjera. Incluye los recursos depositados en otras entidades y en instituciones financieras, sin carácter de inversiones temporales. Se debitan por los depósitos de efectivo, cheques u otros documentos que representen efectivo y se acreditan por las extracciones y pagos efectuados y se analiza por cuentas bancarias."
"account_group_template_120_129","120","129","Inversiones a Corto Plazo o Temporales","account_group_template_activos_circulantes","0","0","asset_current","Representan la utilización del efectivo temporalmente libre, procedente de las operaciones de la entidad. Las características de estas inversiones de carácter financiero son su capacidad de ser negociables y su disponibilidad para su uso en el pago de los Pasivos Circulantes. Comprenden, entre otros, los depósitos a plazos fijos en instituciones bancariaso financieras no bancarias, la compra de valores negociables, las inversiones financieras.Se incluyen los contratos de préstamos de las empresas de seguros con instituciones financieras no bancarias y otras modalidades de inversión de recursos temporales aprobados en la legislación vigente con estas entidades.Se debitan por los depósitos a plazos fijos efectuados o los importes de las inversiones efectuadas en valores negociables y se acreditan por la venta de dichos valores cuando se decida negociarlos o se retiren los depósitos a plazos fijos"
"account_group_template_130_133","130","133","Efectos por Cobrar a Corto Plazo","account_group_template_activos_circulantes","1","0","asset_receivable","Representan los documentos mercantiles de crédito recibidos y que están pendientes de cobro dentro de los términos vigentes, que no les permiten perder su respaldo legal.Comprenden, entre otros, las letras de cambio y los pagarés aceptados por los clientes.Se debitan por los documentos recibidos y se acreditan, al ser cobrados estos, por cancelaciones, los declarados en proceso de litigio y de protesto.Se analiza por subcuentas de uso obligatorio y por clientes"
"account_group_template_134_134","134","134","Cuenta en Participación","account_group_template_activos_circulantes","1","0","asset_current","Comprende el importe de los contratos de asociación económica internacional desde su inicio hasta su liquidación cuando se decide llevarse por las dos partes del contrato. Debe analizarse por contrato, por socio o cliente.Se debitan por el aporte de la entidad, por el ingreso recibido por concepto de ventas asociadas al contrato y por los beneficios obtenidos de las operaciones de la asociación pendientes de cobro y se acreditan por los gastos en que incurren en el contrato, el pago de impuestos y contribuciones, la liquidación del contrato, la devolución de los aportes y el cobro de los beneficios en cada período o al liquidarse el contrato."
"account_group_template_135_139","135","139","Cuentas por Cobrar a Corto Plazo","account_group_template_activos_circulantes","1","0","asset_receivable","Se registran en estas cuentas el importe de las ventas de productos y mercancías, el importe de los servicios prestados, incluyendo los asociados a la actividad de seguros, así como el valor de los trabajos ejecutados y de las Certificaciones de Avance de Obras facturados debiéndose analizar por clientes; considerando cada documento emitido y cobrado.Se debitan por las Facturas o Certificaciones emitidas y se acreditan al cobrarse estas, por cancelaciones, las declaradas en proceso de litigio y de protesto.Se analiza por subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_group_template_140_140","140","140","Pagos por Cuenta de Terceros","account_group_template_activos_circulantes","0","0","asset_current","Se registran en estas cuentas el importe de los pagos realizados por las entidades a cuenta de terceros según la legislación vigente. Debe analizarse por clientes, considerando cada documento emitido y cobrado. Se debitan por las Facturas o Certificaciones recibidas por las entidades y se acreditan al refacturarse a terceros, por cancelaciones, los declarados en proceso de litigio y de protesto."
"account_group_template_141_141","141","141","Participación   de   Reaseguradores   por   Siniestros Pendientes","account_group_template_activos_circulantes","0","0","asset_current","Se registra en esta cuenta el importe que debe recibirse de las entidades reaseguradoras por su participación en los siniestros.Se debitan por las Facturas presentadas a las entidades reaseguradoras y se acreditan al cobrarse estas, por cancelaciones y las declaradas en proceso de litigio."
"account_group_template_142_142","142","142","Préstamos y Otras Operaciones Crediticias a Cobrar a Corto Plazo","account_group_template_activos_circulantes","0","0","asset_current","Se registra en esta cuenta el importe de los préstamos y otras operaciones crediticias a cobrar a corto plazo, según la legislación financiera vigente. Debe analizarse por clientes, considerando cada documento emitido y cobrado. Se debitan por los documentos que amparen la reclamación del préstamo y otras operaciones financieras a corto plazo y se acreditan al efectuarse el cobro de estos."
"account_group_template_143_143","143","143","Suscriptores de Bonos","account_group_template_activos_circulantes","0","0","asset_current","Se registra en esta cuenta el importe de los Bonos suscritos por los bonistas u obligacionistas para su pago a plazo. Debe analizarse por bonistas.Se debitan por la suscripción de los bonos y se acreditan por el cobro de los bonos suscritos en los plazos establecidos."
"account_group_template_144_144","144","144","Bonos Emitidos en Cartera","account_group_template_activos_circulantes","0","0","asset_current","Comprende el importe de los Bonos no vendidos o vendidos y no concluidos de cobrar. Aparece en el Estado de Situación minorando la cuenta Bonos por Pagar. Se debitan por el importe de los Bonos no vendidos o vendidos y no concluidos de cobrar y se acreditan por el cobro de los Bonos."
"account_group_template_146_149","146","149","Pagos Anticipados a Suministradores","account_group_template_activos_circulantes","0","0","asset_prepayments","Se registran en estas cuentas el importe de los pagos efectuados a los proveedores por la recepción futura de los productos o mercancías, así como por la aceptación posterior de los trabajos o servicios, en virtud de los contratos suscritos o pactos aceptados.Se debitan por los pagos anticipados efectuados y se acreditan por el importe de los productos, mercancías y servicios recibidos, así como por los reintegros por pagos en exceso.Se analiza por subcuentas de uso obligatorio y por proveedores."
"account_group_template_150_152","150","152","Pagos Anticipados del Proceso Inversionista","account_group_template_activos_circulantes","0","0","asset_current","Estas cuentas registran los importes de los pagos efectuados a los ejecutores de las inversiones (entidades constructoras, de proyectos, nuevas formas de gestión autorizadas o suministradores de equipos y de materiales) previos a la recepción de los equipos y materiales o a la ejecución de los trabajos, de acuerdo con los contratos suscritos. Se debitan al realizarse los pagos anticipados y se acreditan al recibirse los equipos, materiales y las Certificaciones de Avance de Obras justificativas de la ejecución de las inversiones materiales.Se analiza por subcuentas de uso obligatorio y por proveedores."
"account_group_template_153_153","153","153","Materiales Anticipados del Proceso Inversionista","account_group_template_activos_circulantes","0","0","asset_current","Estas cuentas registran los importes de los materiales entregados a los ejecutores de las inversiones (entidades constructoras, de proyectos, nuevas formas de gestión autorizadas o suministradores de equipos y de materiales) operación que tiene que estar respaldada en los contratos de ejecución de obra. Se debitan al realizarse los pagos anticipados y se acreditan al recibirse los equipos, materiales y las Certificaciones de Avance de Obras justificativas de la ejecución de las inversiones materiales"
"account_group_template_161_163","161","163","Anticipos a Justificar","account_group_template_activos_circulantes","0","0","asset_current","Se registra el importe de los anticipos entregados a los trabajadores con el objetivo de financiar gastos administrativos u operacionales, incurridos en la comisión de servicios. Se debitan por los anticipos concedidos pagados por el importe de las tarjetas prepagadas para combustible, en el momento en que se entreguen a las personas autorizadas para su uso y se acreditan por la liquidación de estos."
"account_group_template_164_166","164","166","Adeudos del Presupuesto del Estado","account_group_template_activos_circulantes","0","0","asset_current","Representan los importes pendientes de recibir del Presupuesto del Estado, de acuerdo con las regulaciones financieras vigentes. Comprenden, al final del período contable, los importes pendientes de recibir por los pagos en exceso al Presupuesto del Estado por concepto de impuestos, contribuciones y de pagos por concepto de seguridad social a corto plazo, pendientes de reintegrar.Se analiza por subcuentas de uso obligatorio correspondiéndose con la sección del Clasificador de Recursos Financieros"
"account_group_template_167_170","167","170","Adeudos del Órgano u Organismo","account_group_template_activos_circulantes","0","0","asset_current","Representan los importes pendientes de recibir directamente del órgano,organismo, unión o grupo empresarial al que se subordina la entidad, de acuerdocon las regulaciones financieras vigentes.Se debitan por los importes pendientes de recibir de los órganos, organismos ouniones y se acreditan por los importes recibidos."
