"id","code_prefix_start","code_prefix_end","name","parent_id","reconcile","expense_element_detailed","account_type","note"
"account_group_30","600","699","GRUPO DE CAPITAL","","0","0","equity",""
"account_group_50","","","GRUPO DE CUENTAS NOMINALES","","0","0","",""
"account_group_50_1","800","873","CUENTAS NOMINALES DEUDORAS","account_group_50","0","0","expense",""
"account_group_50_2","900","953","CUENTAS NOMINALES ACREEDORAS","account_group_50","0","0","income",""
"account_group_tcp_10","","","GRUPO DE ACTIVOS","","0","0","",""
"account_group_tcp_10_1","100","110","ACTIVO CIRCULANTE","account_group_tcp_10","0","0","",""
"account_group_tcp_10_2","200","200","ACTIVOS FIJO","account_group_tcp_10","0","0","",""
"account_group_tcp_10_3","300","300","CUENTAS REGULADORAS DE ACTIVOS","account_group_tcp_10","0","0","",""
"account_group_tcp_20","","","GRUPO DE PASIVOS","","0","0","",""
"account_group_tcp_20_1","470","470","PASIVOS CIRCULANTES","account_group_tcp_20","0","0","",""
"account_group_tcp_30","600","620","GRUPO DE PATRIMONIO","","0","0","",""
"account_group_tcp_40","","","GRUPO DE CUENTAS NOMINALES","","0","0","",""
"account_group_tcp_40_1","800","810","CUENTAS NOMINALES DEUDORAS","account_group_tcp_40","0","0","",""
"account_group_tcp_40_2","900","900","CUENTAS NOMINALES DEUDORAS","account_group_tcp_40","0","0","",""
"account_group_tcp_50","999","999","CUENTA DE CIERRE","","0","0","",""
