id,name,description,sequence,amount,amount_type,type_tax_use,invoice_repartition_line_ids/factor_percent,invoice_repartition_line_ids/repartition_type,invoice_repartition_line_ids/document_type,invoice_repartition_line_ids/account_id,refund_repartition_line_ids/factor_percent,refund_repartition_line_ids/repartition_type,refund_repartition_line_ids/document_type,refund_repartition_line_ids/account_id,children_tax_ids,tax_group_id
private_cu_tax1_sale,1% VENTAS PRIVADO-COOPERATIVO (BASE),1% VENTAS SECTOR PRIVADO Y COOPERATIVO,10,1,percent,sale,100,base,invoice,,100,base,refund,,,cu_tax_group_sale
,,,,,,,100,tax,invoice,account_private_4400104,100,tax,refund,account_private_4400104,,
private_cu_tax10_sale,10% VENTAS PRIVADO-COOPERATIVO (BASE),10% VENTAS SECTOR PRIVADO Y COOPERATIVO,11,10,percent,sale,100,base,invoice,,100,base,refund,,,cu_tax_group_sale
,,,,,,,100,tax,invoice,account_private_4400102,100,tax,refund,account_private_4400102,,
private_cu_tax1_sale_reverse,1% VENTAS PRIVADO-COOPERATIVO (INVERSA),1% VENTAS SECTOR PRIVADO Y COOPERATIVO,12,-1,percent,,100,base,invoice,,100,base,refund,,,cu_tax_group_sale
,,,,,,,100,tax,invoice,account_common_805,100,tax,refund,account_common_805,,
private_cu_tax10_sale_reverse,10% VENTAS PRIVADO-COOPERATIVO (INVERSA),10% VENTAS SECTOR PRIVADO Y COOPERATIVO,13,-10,percent,,100,base,invoice,,100,base,refund,,,cu_tax_group_sale
,,,,,,,100,tax,invoice,account_common_805,100,tax,refund,account_common_805,,
private_cu_tax1_sale_all,1% VENTAS PRIVADO-COOPERATIVO (IMPUESTO),1% VENTAS SECTOR PRIVADO Y COOPERATIVO,14,0,group,sale,,,,,,,,,private_cu_tax1_sale,cu_tax_group_sale
,,,,,,,,,,,,,,,private_cu_tax1_sale_reverse,
private_cu_tax10_sale_all,10% VENTAS PRIVADO-COOPERATIVO (IMPUESTO),10% VENTAS SECTOR PRIVADO Y COOPERATIVO,15,0,group,sale,,,,,,,,,private_cu_tax10_sale,cu_tax_group_sale
,,,,,,,,,,,,,,,private_cu_tax10_sale_reverse,
private_cu_tax0_sale,0% PRIVADO-COOPERATIVO (VENTAS),0% VENTAS SECTOR PRIVADO Y COOPERATIVO,16,0,percent,sale,100,base,invoice,,100,base,refund,,,cu_tax_group_sale
,,,,,,,100,tax,invoice,,100,tax,refund,,,
